
   INFO  Server running on [http://127.0.0.1:1111].  

  Press Ctrl+C to stop the server
  2026-04-11 00:42:40 /api/v1/dashboard/dosen ...................... ~ 0.15ms
  2026-04-11 00:42:40 /favicon.ico ................................. ~ 0.06ms
  2026-04-11 00:43:20 /api/v1/dashboard/admin ...................... ~ 1.88ms
  2026-04-11 00:46:07 /dashboard ................................... ~ 2.44ms
  2026-04-11 00:46:07 /assets/index--Pnac_ds.css ................... ~ 0.10ms
  2026-04-11 00:46:07 /assets/index-BJTVvOEN.js .................... ~ 0.49ms
  2026-04-11 00:46:08 /api/v1/me ................................... ~ 0.16ms
  2026-04-11 00:46:09 /api/v1/dashboard/dosen .................... ~ 505.41ms
  2026-04-11 00:46:09 /favicon.ico ............................... ~ 506.64ms
  2026-04-11 00:46:11 /favicon.ico ............................... ~ 504.21ms
  2026-04-11 00:48:20 /api/v1/dashboard/admin .................... ~ 503.42ms
  2026-04-11 00:53:20 /api/v1/dashboard/admin ...................... ~ 2.79ms
  2026-04-11 00:55:11 /simulation ................................ ~ 506.16ms
  2026-04-11 00:55:12 /assets/index-Dnz-g-sb.css ................... ~ 0.11ms
  2026-04-11 00:55:12 /assets/index-COs95i-r.js .................... ~ 0.80ms
  2026-04-11 00:55:13 /api/v1/me ................................... ~ 0.16ms
  2026-04-11 00:55:13 /favicon.ico ............................... ~ 505.06ms
  2026-04-11 00:58:20 /api/v1/dashboard/admin ...................... ~ 4.03ms
  2026-04-11 01:00:12 /simulation ................................ ~ 506.76ms
  2026-04-11 01:00:12 /assets/index-CmkCjN82.css ................... ~ 0.11ms
  2026-04-11 01:00:12 /assets/index-C4YJMTvA.js .................... ~ 0.80ms
  2026-04-11 01:00:13 /api/v1/me ................................... ~ 1.72ms
  2026-04-11 01:00:14 /favicon.ico ................................. ~ 0.11ms
  2026-04-11 01:00:39 /api/v1/simulations .......................... ~ 0.33ms
  2026-04-11 01:03:17 /simulation ................................ ~ 507.94ms
  2026-04-11 01:03:17 /assets/index-p8ZDSgZS.css ................... ~ 0.12ms
  2026-04-11 01:03:17 /assets/index-DRyKnKKH.js .................... ~ 1.31ms
  2026-04-11 01:03:18 /api/v1/me ................................... ~ 0.15ms
  2026-04-11 01:03:18 /favicon.ico ............................... ~ 504.71ms
  2026-04-11 01:03:20 /api/v1/dashboard/admin ...................... ~ 0.31ms
  2026-04-11 01:03:27 /api/v1/simulations .......................... ~ 0.38ms
  2026-04-11 01:08:20 /api/v1/dashboard/admin .................... ~ 508.06ms
  2026-04-11 01:07:26 .............................................. ~ 3m 14s
  2026-04-11 01:10:40 /simulation ................................ ~ 500.99ms
  2026-04-11 01:10:40 /assets/index-p8ZDSgZS.css ................... ~ 0.07ms
  2026-04-11 01:10:40 /assets/index-DRyKnKKH.js .................... ~ 0.39ms
  2026-04-11 01:10:42 /api/v1/me ................................... ~ 0.28ms
  2026-04-11 01:10:42 /favicon.ico ............................... ~ 503.13ms
  2026-04-11 01:11:01 /api/v1/simulations .......................... ~ 0.48ms
  2026-04-11 01:11:12 /api/v1/payments ............................. ~ 0.24ms
  2026-04-11 01:11:12 /favicon.ico ................................. ~ 1.08ms
  2026-04-11 01:11:17 /favicon.ico ................................. ~ 1.46ms
  2026-04-11 01:11:23 /api/v1/simulations .......................... ~ 1.32ms
  2026-04-11 01:11:31 /api/v1/payments ............................. ~ 1.26ms
  2026-04-11 01:11:31 /favicon.ico ................................. ~ 1.99ms
  2026-04-11 01:11:34 /api/v1/portfolios ......................... ~ 503.07ms
  2026-04-11 01:11:34 /favicon.ico ................................. ~ 0.12ms
  2026-04-11 01:11:36 /favicon.ico ................................. ~ 0.35ms
  2026-04-11 01:11:43 /api/v1/simulations ........................ ~ 505.07ms
  2026-04-11 01:12:35 /simulation .................................. ~ 2.95ms
  2026-04-11 01:12:35 /assets/index-CRqf09on.js .................... ~ 0.14ms
  2026-04-11 01:12:35 /assets/index-Cy2xAkcu.css ................... ~ 0.49ms
  2026-04-11 01:12:35 /api/v1/me ................................... ~ 0.17ms
  2026-04-11 01:12:36 /favicon.ico ................................. ~ 0.09ms
  2026-04-11 01:12:36 /api/v1/simulations/latest ................. ~ 505.29ms
  2026-04-11 01:12:48 /api/v1/simulations .......................... ~ 0.26ms
  2026-04-11 01:13:32 /api/v1/simulations .......................... ~ 1.00ms
  2026-04-11 01:13:52 /api/v1/dashboard/admin ...................... ~ 0.50ms
  2026-04-11 01:14:14 /api/v1/simulations .......................... ~ 1.03ms
  2026-04-11 01:16:26 /api/v1/simulations .......................... ~ 1.70ms
  2026-04-11 01:17:17 /api/v1/simulations .......................... ~ 0.18ms
  2026-04-11 01:18:29 /api/v1/simulations .......................... ~ 1.01ms
  2026-04-11 01:18:33 /simulation .................................. ~ 0.16ms
  2026-04-11 01:18:33 /assets/index-CVgrVRvi.css ................... ~ 0.11ms
  2026-04-11 01:18:33 /assets/index-DATd8jQF.js .................... ~ 0.72ms
  2026-04-11 01:18:34 /api/v1/me ................................... ~ 0.15ms
  2026-04-11 01:18:34 /api/v1/simulations/latest ....................... ~ 1s
  2026-04-11 01:18:34 /favicon.ico ..................................... ~ 1s
  2026-04-11 01:18:42 /api/v1/simulations .......................... ~ 0.20ms
  2026-04-11 01:18:52 /api/v1/simulations .......................... ~ 0.51ms
  2026-04-11 01:18:52 /api/v1/dashboard/admin ...................... ~ 0.16ms
  2026-04-11 01:18:56 /api/v1/simulations .......................... ~ 0.13ms
  2026-04-11 01:22:33 /simulation ................................ ~ 502.82ms
  2026-04-11 01:22:34 /assets/index-DDQQOBqy.css ................... ~ 0.15ms
  2026-04-11 01:22:34 /assets/index-spB6yGU_.js .................... ~ 1.44ms
  2026-04-11 01:22:34 /api/v1/me ................................. ~ 503.04ms
  2026-04-11 01:22:34 /favicon.ico ................................. ~ 0.06ms
  2026-04-11 01:22:35 /api/v1/simulations/latest ................. ~ 502.97ms
  2026-04-11 01:22:37 /api/v1/simulations .......................... ~ 0.19ms
  2026-04-11 01:22:40 /api/v1/payments ............................. ~ 0.37ms
  2026-04-11 01:22:40 /favicon.ico ................................. ~ 0.05ms
  2026-04-11 01:22:43 /api/v1/payments ........................... ~ 506.07ms
  2026-04-11 01:22:55 /api/v1/payments ............................. ~ 0.46ms
  2026-04-11 01:23:52 /api/v1/dashboard/admin ...................... ~ 0.50ms
  2026-04-11 01:26:27 /payments .................................... ~ 3.17ms
  2026-04-11 01:26:27 /assets/index-DDQQOBqy.css ................... ~ 0.23ms
  2026-04-11 01:26:27 /assets/index-spB6yGU_.js .................... ~ 0.65ms
  2026-04-11 01:26:27 /api/v1/me ................................... ~ 0.07ms
  2026-04-11 01:26:27 /api/v1/payments ............................. ~ 0.31ms
  2026-04-11 01:26:28 /favicon.ico ................................. ~ 0.23ms
  2026-04-11 01:26:30 /api/v1/dashboard/dosen ...................... ~ 0.14ms
  2026-04-11 01:26:30 /favicon.ico ................................. ~ 0.06ms
  2026-04-11 01:26:36 /api/v1/simulations/latest ................. ~ 502.37ms
  2026-04-11 01:26:36 /favicon.ico ................................. ~ 0.08ms
  2026-04-11 01:26:39 /api/v1/portfolios ......................... ~ 501.46ms
  2026-04-11 01:26:39 /favicon.ico ................................. ~ 0.07ms
  2026-04-11 01:26:39 /api/v1/payments ............................. ~ 0.12ms
  2026-04-11 01:26:39 /favicon.ico ................................. ~ 0.05ms
  2026-04-11 01:26:40 /api/v1/dashboard/dosen ...................... ~ 0.21ms
  2026-04-11 01:26:40 /favicon.ico ................................. ~ 0.12ms
  2026-04-11 01:26:52 /dashboard ................................... ~ 6.46ms
  2026-04-11 01:26:52 /assets/index-spB6yGU_.js .................. ~ 529.41ms
  2026-04-11 01:26:52 /assets/index-DDQQOBqy.css ................. ~ 531.79ms
  2026-04-11 01:26:52 /api/v1/me ................................... ~ 0.12ms
  2026-04-11 01:26:52 /favicon.ico ................................. ~ 1.38ms
  2026-04-11 01:26:52 /api/v1/captcha .............................. ~ 0.08ms
  2026-04-11 01:26:52 /favicon.ico ................................. ~ 0.47ms
  2026-04-11 01:28:41 /api/v1/login ................................ ~ 3.01ms
  2026-04-11 01:28:42 /api/v1/dashboard/admin ...................... ~ 0.14ms
  2026-04-11 01:28:42 /favicon.ico ................................. ~ 0.18ms
  2026-04-11 01:28:47 /api/v1/payments ........................... ~ 504.60ms
